x0,x1
0.670455,0.447934
0.670694,0.448254
0.670933,0.448569
0.671171,0.448889
0.671409,0.449209
0.671651,0.449509
0.671868,0.449829
0.672094,0.450149
0.67233,0.450469
0.672565,0.450789
0.6728,0.451109
0.673034,0.451429
0.673268,0.451729
0.673502,0.452049
0.673735,0.452369
0.673967,0.452689
0.674214,0.453009
0.674446,0.453329
0.674677,0.453649
0.674898,0.453949
0.67513,0.454249
0.675344,0.454546
0.675565,0.454846
0.675802,0.455158
0.676035,0.455478
0.67627,0.455778
0.676497,0.45609
0.67672,0.4564
0.676942,0.4567
0.677173,0.457012
0.677394,0.457322
0.67762,0.457635
0.677835,0.457947
0.678059,0.458247
0.678283,0.458547
0.678506,0.458847
0.678729,0.459147
0.678952,0.459447
0.679174,0.459747
0.679411,0.460047
0.679632,0.460347
0.679862,0.460647
0.680083,0.460967
0.680302,0.461287
0.680542,0.461607
0.680768,0.461907
0.680984,0.462215
0.681212,0.46252
0.68143,0.462825
0.681649,0.463125
0.681874,0.463445
0.6821,0.463745
0.682316,0.464045
0.682557,0.464345
0.682771,0.464645
0.682991,0.464945
0.683205,0.465265
0.683438,0.465565
0.683651,0.465865
0.683869,0.466185
0.684081,0.466485
0.684313,0.466785
0.684545,0.467085
0.684755,0.46739
0.684966,0.46769
0.685186,0.46799
0.685411,0.46829
0.68562,0.46859
0.685849,0.468885
0.686057,0.469185
0.686268,0.469485
0.68649,0.469785
0.686707,0.470085
0.68694,0.470365
0.687141,0.470665
0.687351,0.470965
0.687567,0.471265
0.687782,0.471565
0.68801,0.471865
0.688214,0.472165
0.688437,0.47246
0.68866,0.472755
0.688878,0.473055
0.6891,0.473355
0.689317,0.473655
0.689519,0.473955
0.68974,0.474255
0.689958,0.474555
0.690186,0.474855
0.690389,0.475159
0.690616,0.475455
0.690819,0.475759
0.691027,0.476053
0.691238,0.476333
0.691452,0.476628
0.691649,0.476924
0.691858,0.477212
0.692074,0.477512
0.69229,0.477802
0.6925,0.47809
0.692722,0.478384
0.692939,0.47868
0.693137,0.478976
0.693342,0.47927
0.693553,0.479561
0.693766,0.479852
0.693978,0.480132
0.694186,0.480426
0.694388,0.480721
0.694596,0.481009
0.694802,0.481294
0.694993,0.481582
0.695203,0.481862
0.695424,0.48215
0.695627,0.482446
0.695831,0.482738
0.696038,0.483028
